ACCOUNT_CODE,ACCOUNT_NAME,ACCOUNT_TYPE,STATEMENT,PARENT_CODE,LEVEL,DISPLAY_ORDER,ORIGIN
2.01.05,Dividendos e JCP a Pagar,LIABILITY,BALANCE_SHEET,2.01,3,210,STANDARD
2.01.06,Adiantamentos de Clientes,LIABILITY,BALANCE_SHEET,2.01,3,220,STANDARD
2.01.09,Outros Passivos Circulantes,LIABILITY,BALANCE_SHEET,2.01,3,230,STANDARD
2.02,Passivo Não Circulante,LIABILITY,BALANCE_SHEET,2,2,240,STANDARD
2.02.01,Empréstimos e Financiamentos de Longo Prazo,LIABILITY,BALANCE_SHEET,2.02,3,250,STANDARD
2.02.02,Debêntures,LIABILITY,BALANCE_SHEET,2.02,3,260,STANDARD
2.02.03,Provisões,LIABILITY,BALANCE_SHEET,2.02,3,270,STANDARD
2.02.04,Tributos Diferidos,LIABILITY,BALANCE_SHEET,2.02,3,280,STANDARD
2.02.09,Outros Passivos Não Circulantes,LIABILITY,BALANCE_SHEET,2.02,3,290,STANDARD
3,Patrimônio Líquido,EQUITY,BALANCE_SHEET,,1,300,STANDARD
3.01,Capital Social,EQUITY,BALANCE_SHEET,3,2,310,STANDARD
3.02,Reservas de Capital,EQUITY,BALANCE_SHEET,3,2,320,STANDARD
3.03,Reservas de Lucros,EQUITY,BALANCE_SHEET,3,2,330,STANDARD
3.04,Ajustes de Avaliação Patrimonial,EQUITY,BALANCE_SHEET,3,2,340,STANDARD
3.05,Lucros ou Prejuízos Acumulados,EQUITY,BALANCE_SHEET,3,2,350,STANDARD
3.06,Ações em Tesouraria,EQUITY,BALANCE_SHEET,3,2,360,STANDARD
3.07,Participação de Não Controladores,EQUITY,BALANCE_SHEET,3,2,370,STANDARD
3.09,Outras Contas do Patrimônio Líquido,EQUITY,BALANCE_SHEET,3,2,380,STANDARD
4,Receitas,REVENUE,INCOME_STATEMENT,,1,390,STANDARD
4.01,Receita Bruta de Vendas e Serviços,REVENUE,INCOME_STATEMENT,4,2,400,STANDARD
4.02,Deduções da Receita Bruta,REVENUE,INCOME_STATEMENT,4,2,410,STANDARD
4.03,Receitas Financeiras,REVENUE,INCOME_STATEMENT,4,2,420,STANDARD
4.04,Resultado de Equivalência Patrimonial,REVENUE,INCOME_STATEMENT,4,2,430,STANDARD
4.09,Outras Receitas Operacionais,REVENUE,INCOME_STATEMENT,4,2,440,STANDARD
5,Custos e Despesas,EXPENSE,INCOME_STATEMENT,,1,450,STANDARD
5.01,Custo dos Produtos e Serviços Vendidos,EXPENSE,INCOME_STATEMENT,5,2,460,STANDARD
5.02,Despesas com Vendas,EXPENSE,INCOME_STATEMENT,5,2,470,STANDARD
5.03,Despesas Gerais e Administrativas,EXPENSE,INCOME_STATEMENT,5,2,480,STANDARD
5.04,Depreciação e Amortização,EXPENSE,INCOME_STATEMENT,5,2,490,STANDARD
5.05,Despesas Financeiras,EXPENSE,INCOME_STATEMENT,5,2,500,STANDARD
5.06,Imposto de Renda e Contribuição Social,EXPENSE,INCOME_STATEMENT,5,2,510,STANDARD
5.09,Outras Despesas Operacionais,EXPENSE,INCOME_STATEMENT,5,2,520,STANDARD
6,Resultado,RESULT,INCOME_STATEMENT,,1,530,STANDARD
6.01,Receita Líquida,RESULT,INCOME_STATEMENT,6,2,540,STANDARD
6.02,Lucro Bruto,RESULT,INCOME_STATEMENT,6,2,550,STANDARD
6.03,Resultado Operacional (EBIT),RESULT,INCOME_STATEMENT,6,2,560,STANDARD
6.04,Resultado Antes do IR e CSLL,RESULT,INCOME_STATEMENT,6,2,570,STANDARD
6.05,Lucro ou Prejuízo Líquido do Exercício,RESULT,INCOME_STATEMENT,6,2,580,STANDARD
